,source,target,weight
0,Geralt,Niedamir,52
1,Eyck,Geralt,51
2,Dorregaray,Geralt,30
3,Dorregaray,Yennefer,44
4,Geralt,Yarpen,24
5,Geralt,Gyllenstiern,32
6,Boholt,Niedamir,21
7,Boholt,Geralt,39
8,Geralt,Kennet,2
9,Boholt,Kennet,8
10,Yarpen,Yennefer,88
11,Niedamir,Yennefer,19
12,Gyllenstiern,Niedamir,38
13,Gyllenstiern,Yennefer,19
14,Boholt,Yennefer,54
15,Boholt,Yarpen,34
16,Niedamir,Yarpen,21
17,Boholt,Crinfrid,6
18,Kennet,Yennefer,6
19,Dorregaray,Niedamir,28
20,Geralt,Yennefer,350
21,Dorregaray,Gyllenstiern,6
22,Dorregaray,Eyck,17
23,Eyck,Niedamir,26
24,Eyck,Yennefer,14
25,Gyllenstiern,Yarpen,5
26,Boholt,Gyllenstiern,1
27,Boholt,Dorregaray,17
28,Kennet,Yarpen,6
29,Niedamir,Villentretenmerth,4
30,Eyck,Yarpen,22
31,Boholt,Eyck,13
32,Eyck,Villentretenmerth,6
33,Eyck,Gyllenstiern,16
34,Gyllenstiern,Kennet,5
35,Villentretenmerth,Yennefer,13
36,Geralt,Villentretenmerth,20
37,Istredd,Yennefer,53
38,Geralt,Herbolth,23
39,Geralt,Ivo,4
40,Geralt,Istredd,58
41,Two,Yennefer,2
42,Geralt,Two,15
43,Herbolth,Istredd,9
44,Dandelion,Pike,6
45,Dandelion,Geralt,100
46,Dainty,Geralt,133
47,Dandelion,Vespula,10
48,Dainty,Dandelion,36
49,Dainty,Pike,10
50,Dainty,Vimme,33
51,Geralt,Vimme,8
52,Dainty,Sulimir,10
53,Ther,Vimme,5
54,Sulimir,Vimme,1
55,Rhundurin,Vimme,6
56,Geralt,Vespula,19
57,Dainty,Vespula,6
58,Dudu,Geralt,18
59,Dandelion,Dudu,6
60,Dainty,Dudu,12
61,Geralt,Sh'eenaz,54
62,Agloval,Dandelion,6
63,Gaspard,Teleri,5
64,Dalia,Gaspard,6
65,Dalia,Mestvin,6
66,Dandelion,Mestvin,5
67,Geralt,Teleri,8
68,Essi,Geralt,236
69,Dandelion,Essi,51
70,Agloval,Essi,33
71,Geralt,Gerard,1
72,Dandelion,Gerard,3
73,Agloval,Geralt,8
74,Agloval,Zelest,3
75,Geralt,Zelest,2
76,Duke,Essi,5
77,Akeretta,Veverka,5
78,Akeretta,Geralt,9
79,Essi,Yennefer,19
80,Duke,Geralt,5
81,Ethain,Geralt,4
82,Essi,Sh'eenaz,9
83,Akeretta,Essi,2
84,Agloval,Yennefer,6
85,Agloval,Sh'eenaz,13
86,Sh'eenaz,Yennefer,5
87,Essi,Zelest,4
88,Dandelion,Zelest,5
89,Geralt,Juan,5
90,Cynthia,Essi,4
91,Cynthia,Geralt,5
92,Braenn,Ciri,61
93,Braenn,Geralt,135
94,Braenn,Ervyll,6
95,Eithné,Geralt,56
96,Braenn,Eithné,24
97,Geralt,Voymir,5
98,Braenn,Voymir,6
99,Ciri,Kistrin,31
100,Alvina,Ciri,2
101,Ciri,Geralt,205
102,Ciri,Eithné,68
103,Geralt,Kistrin,20
104,Braenn,Vesemir,6
105,Cirilla,Geralt,4
106,Ervyll,Geralt,5
107,Ciri,Freixenet,6
108,Freixenet,Geralt,4
109,Geralt,Venzlav,26
110,Ekkehard,Venzlav,5
111,Ekkehard,Viraxas,5
112,Eithné,Venzlav,15
113,Eithné,Morenn,9
114,Geralt,Morenn,13
115,Ciri,Morenn,5
116,Braenn,Mona,21
117,Eithné,Yennefer,6
118,Ciri,Pavetta,9
119,Ciri,Two,3
120,Baron,Ervyll,5
121,Baron,Ciri,5
122,Ciri,Venzlav,6
123,Ervyll,Venzlav,5
124,Ervyll,Viraxas,6
125,Geralt,Viraxas,4
126,Geralt,Junghans,6
127,Brick,Venzlav,2
128,Ciri,Levecque,15
129,Levecque,Venzlav,6
130,Junghans,Levecque,19
131,Geralt,Levecque,31
132,Brick,Levecque,6
133,Brick,Ciri,5
134,Geralt,Mousesack,26
135,Ciri,Mousesack,13
136,Geralt,Pavetta,33
137,Ciri,Yurga,4
138,Geralt,Yurga,72
139,Geralt,Visenna,18
140,Geralt,Vesemir,5
141,Vesemir,Visenna,3
142,Atlan,Yurga,2
143,Geralt,Lytta,9
144,Geralt,Gorazd,8
145,Geralt,Roach,8
146,Roach,Yurga,17
147,Two,Yurga,5
148,Nadbor,Sulik,5
149,Sulik,Yurga,3
