,source,target,weight
0,Geralt,Velerad,10
1,Ostrit,Velerad,8
2,Adda,Ostrit,5
3,Adda,Segelin,3
4,Ostrit,Segelin,6
5,Foltest,Geralt,38
6,Adda,Foltest,5
7,Geralt,Ostrit,34
8,Segelin,Velerad,6
9,Foltest,Ostrit,7
10,Foltest,Velerad,6
11,Adda,Geralt,10
12,Geralt,Nenneke,96
13,Nenneke,Yennefer,12
14,Geralt,Roach,38
15,Geralt,Two,24
16,Rulle,Two,4
17,Geralt,Rulle,4
18,Geralt,Nivellen,116
19,Glutton,Nivellen,3
20,Fenne,Geralt,5
21,Fenne,Nivellen,14
22,Nivellen,Primula,2
23,Geralt,Primula,17
24,Ilka,Primula,6
25,Ilka,Venimira,6
26,Nivellen,Venimira,2
27,Nivellen,Roach,5
28,Glutton,Roach,2
29,Glutton,Vereena,4
30,Geralt,Vereena,15
31,Nivellen,Vereena,14
32,Falwick,Geralt,82
33,Geralt,Hereward,19
34,Hereward,Nenneke,8
35,Falwick,Nenneke,31
36,Falwick,Hereward,13
37,Ermellia,Hereward,4
38,Dragomir,Trigla,6
39,Caldemeyn,Geralt,58
40,Borg,Karelka,6
41,Borg,Caldemeyn,3
42,Geralt,Irion,11
43,Caldemeyn,Irion,1
44,Geralt,Stregobor,36
45,Geralt,Zavist,4
46,Eltibald,Geralt,1
47,Fialka,Silvena,4
48,Evermir,Fialka,6
49,Abrad,Evermir,1
50,Aridea,Fredefalk,25
51,Aridea,Geralt,3
52,Fredefalk,Geralt,6
53,Fredefalk,Stregobor,5
54,Fredefalk,Renfri,5
55,Aridea,Renfri,7
56,Eltibald,Stregobor,9
57,Two,Vyr,4
58,Nimir,Vyr,5
59,Geralt,Nohorn,3
60,Geralt,Tavik,31
61,Nohorn,Tavik,15
62,Fifteen,Nohorn,35
63,Nohorn,Renfri,19
64,Fifteen,Tavik,7
65,Civril,Fifteen,14
66,Civril,Tavik,9
67,Civril,Geralt,13
68,Civril,Nohorn,25
69,Fifteen,Geralt,4
70,Civril,Renfri,9
71,Geralt,Renfri,121
72,Renfri,Tavik,10
73,Caldemeyn,Renfri,10
74,Audoen,Renfri,20
75,Geralt,Libushe,9
76,Renfri,Stregobor,9
77,Audoen,Stregobor,4
78,Aridea,Stregobor,6
79,Marilka,Renfri,4
80,Geralt,Marilka,7
81,Audoen,Geralt,7
82,Audoen,Caldemeyn,5
83,Civril,Marilka,5
84,Fifteen,Renfri,4
85,Geralt,Nimir,6
86,Fifteen,Nimir,3
87,Adam,Geralt,4
88,Geralt,Haxo,21
89,Geralt,Roegner,6
90,Drogodar,Geralt,20
91,Drogodar,Two,5
92,Eylembert,Haxo,3
93,Drogodar,Eylembert,4
94,Eist,Pavetta,26
95,Crach,Eist,9
96,Crach,Draig,6
97,Draig,Eist,14
98,Drogodar,Eist,6
99,Drogodar,Fodcat,11
100,Fodcat,Wieldhill,6
101,Vissegerd,Wieldhill,3
102,Geralt,Vridank,2
103,Cerro,Vridank,6
104,Eist,Vissegerd,12
105,Draig,Geralt,6
106,Eist,Geralt,28
107,Geralt,Mousesack,29
108,Geralt,Pavetta,86
109,Pavetta,Vissegerd,8
110,Drogodar,Vissegerd,6
111,Crach,Geralt,12
112,Mousesack,Vissegerd,6
113,Mousesack,Pavetta,13
114,Draig,Vissegerd,2
115,Geralt,Vissegerd,13
116,Draig,Windhalm,2
117,Pavetta,Windhalm,6
118,Pavetta,Roegner,10
119,Crach,Roegner,5
120,Rumplestelt,Zatret,3
121,Geralt,Ravix,6
122,Rainfarn,Ravix,4
123,Eist,Rainfarn,5
124,Draig,Rainfarn,3
125,Pavetta,Rainfarn,3
126,Fodcat,Geralt,6
127,Crach,Pavetta,4
128,Adalia,Geralt,8
129,Eist,Mousesack,1
130,Mousesack,Rainfarn,5
131,Akerspaark,Roegner,1
132,Geralt,Rainfarn,5
133,Geralt,Roderick,3
134,Geralt,Millet,2
135,Geralt,Nan,9
136,Dhun,Geralt,72
