,source,target,weight
0,Geralt,Yennefer,116
1,Ciri,Yennefer,33
2,Ciri,Kelpie,28
3,Kelpie,Sandy,3
4,Sandy,Yennefer,4
5,Ciri,Geralt,48
6,Nenneke,Triss,6
7,Dorregaray,Triss,12
8,Geralt,Herwig,19
9,Herwig,Yennefer,6
10,Ciri,Nenneke,22
11,Iola,Nenneke,6
12,Eurneid,Iola,16
13,Eurneid,Geralt,4
14,Geralt,Nenneke,17
15,Herwig,Nenneke,27
16,Vesemir,Yennefer,5
17,Geralt,Vesemir,6
18,Eskel,Geralt,12
19,Freya,Geralt,15
20,Freya,Loki,5
21,Loki,Ragnar,10
22,Caldemeyn,Loki,4
23,Annika,Caldemeyn,24
24,Annika,Yarpen,5
25,Chireadan,Yarpen,12
26,Chireadan,Geralt,5
27,Gardenia,Geralt,6
28,Dudu,Gardenia,5
29,Braenn,Dudu,5
30,Braenn,Morenn,6
31,Cirilla,Morenn,12
32,Cirilla,Mona,24
33,Kashka,Mona,24
34,Kashka,Morenn,21
35,Braenn,Kashka,20
36,Braenn,Nenneke,5
37,Geralt,Sh'eenaz,5
38,Ethain,Sh'eenaz,2
39,Ethain,Venzlav,6
40,Matholm,Venzlav,6
41,Matholm,Sigismund,6
42,Devereux,Sigismund,6
43,Adda,Devereux,6
44,Adda,Yves,5
45,Sulivoy,Yves,12
46,Matholm,Sulivoy,12
47,Devereux,Matholm,12
48,Devereux,Villentretenmerth,5
49,Dandelion,Villentretenmerth,10
50,Dandelion,Yennefer,7
51,Dandelion,Geralt,15
52,Geralt,Morenn,2
53,Freixenet,Kashka,6
54,Freixenet,Freya,6
55,Freya,Yves,5
56,Caldemeyn,Villentretenmerth,10
57,Merle,Villentretenmerth,16
58,Radcliffe,Villentretenmerth,2
59,Dorregaray,Radcliffe,6
60,Dorregaray,Kashka,6
61,Braenn,Cirilla,5
62,Mona,Ragnar,5
63,Matholm,Ragnar,6
64,Braenn,Matholm,5
65,Braenn,Freya,6
66,Caldemeyn,Freya,5
67,Caldemeyn,Radcliffe,5
68,Freya,Radcliffe,5
69,Freya,Willem,3
70,Willem,Yarpen,3
71,Dandelion,Yarpen,5
72,Dandelion,Sh'eenaz,4
73,Nenneke,Sh'eenaz,5
74,Nenneke,Yves,2
75,Ragnar,Yves,6
76,Eurneid,Ragnar,6
77,Iola,Jarre,5
78,Chireadan,Jarre,4
79,Chireadan,Eskel,5
80,Eskel,Triss,10
81,Eskel,Villentretenmerth,4
82,Geralt,Merle,1
83,Dandelion,Herwig,2
84,Gardenia,Nenneke,6
85,Dandelion,Gardenia,5
86,Agloval,Dandelion,4
87,Agloval,Braenn,5
88,Herwig,Kashka,5
89,Herwig,Loki,23
90,Dainty,Herwig,5
91,Dainty,Freya,4
92,Geralt,Kelpie,5
93,Kashka,Lily,5
94,Dainty,Lily,6
95,Annika,Dainty,4
96,Caldemeyn,Ciri,5
97,Iola,Kelpie,5
98,Eurneid,Yennefer,11
99,Nenneke,Yennefer,41
100,Caldemeyn,Yennefer,5
101,Caldemeyn,Eskel,5
102,Dainty,Eskel,5
103,Dainty,Villentretenmerth,6
104,Eurneid,Nenneke,4
105,Ciri,Herwig,14
106,Sh'eenaz,Yennefer,7
107,Sh'eenaz,Yarpen,10
108,Villentretenmerth,Yarpen,6
109,Dandelion,Loki,5
110,Crach,Herwig,1
111,Crach,Mona,1
112,Kashka,Nenneke,5
113,Triss,Yennefer,2
114,Kashka,Loki,5
115,Braenn,Loki,4
116,Geralt,Loki,1
117,Braenn,Geralt,11
118,Geralt,Mona,6
119,Dorregaray,Mona,3
120,Dorregaray,Loki,5
121,Ciri,Loki,9
122,Dorregaray,Yennefer,3
123,Radcliffe,Triss,6
124,Herwig,Radcliffe,3
125,Jarre,Yennefer,12
126,Ciri,Jarre,9
127,Ciri,Dorregaray,5
128,Dorregaray,Nenneke,4
129,Galahad,Geralt,23
130,Ciri,Galahad,12
131,Ciri,Lady,4
132,Galahad,Lady,6
133,Eskel,Nenneke,9
134,Ciri,Eskel,5
135,Ciri,Dandelion,4
136,Dandelion,Freixenet,6
137,Freixenet,Sh'eenaz,6
138,Galahad,Kashka,5
139,Agloval,Kashka,4
140,Agloval,Eskel,3
141,Annika,Dandelion,6
142,Sh'eenaz,Villentretenmerth,6
143,Agloval,Chireadan,5
144,Agloval,Herwig,4
145,Gardenia,Herwig,6
146,Freya,Gardenia,4
147,Galahad,Herwig,5
148,Vissing,Yennefer,4
