,source,target,weight
0,Ciri,Geralt,297
1,Geralt,Yennefer,128
2,Cirilla,Yennefer,5
3,Cirilla,Dandelion,4
4,Donimir,Sheldon,5
5,Geralt,Vera,7
6,Dandelion,Geralt,47
7,Geralt,Pavetta,2
8,Ciri,Pavetta,17
9,Ciri,Cirilla,17
10,Eist,Sheldon,4
11,Sheldon,Vera,4
12,Mama,Sheldon,2
13,Mama,Rience,2
14,Gruzila,Mama,6
15,Dandelion,Rience,10
16,Rience,Yennefer,7
17,Dandelion,Yennefer,8
18,Geralt,Niedamir,3
19,Ciri,Roach,22
20,Ciri,Eskel,44
21,Eskel,Roach,10
22,Eskel,Vesemir,29
23,Lambert,Vesemir,38
24,Ciri,Vesemir,76
25,Geralt,Vesemir,93
26,Ciri,Triss,118
27,Geralt,Triss,187
28,Eskel,Triss,17
29,Eskel,Geralt,26
30,Geralt,Lambert,41
31,Ciri,Lambert,40
32,Triss,Vesemir,32
33,Lambert,Triss,40
34,Triss,Yennefer,21
35,Eskel,Lambert,23
36,Lambert,Two,2
37,Nenneke,Triss,3
38,Axel,Vanielle,4
39,Axel,Ciri,4
40,Ciri,Yennefer,336
41,Fercart,Foltest,6
42,Fercart,Keira,6
43,Artaud,Vilgefortz,16
44,Artaud,Fercart,6
45,Fercart,Yennefer,22
46,Vanielle,Yennefer,9
47,Milan,Triss,2
48,Roach,Triss,4
49,Geralt,Yarpen,124
50,Xavier,Yannick,6
51,Paulie,Xavier,9
52,Paulie,Regan,23
53,Geralt,Regan,5
54,Lucas,Yarpen,4
55,Geralt,Lucas,3
56,Geralt,Vilfrid,16
57,Vilfrid,Yarpen,6
58,Triss,Yarpen,17
59,Ciri,Yarpen,102
60,Geralt,Henselt,5
61,Ciri,Paulie,5
62,Regan,Roach,4
63,Geralt,Roach,30
64,Yarpen,Yennefer,9
65,Paulie,Yarpen,37
66,Xavier,Yarpen,10
67,Regan,Yarpen,36
68,Regan,Schrader,3
69,Ciri,Schrader,3
70,Geralt,Paulie,13
71,Ciri,Yannick,4
72,Paulie,Yannick,2
73,Ciri,Two,5
74,Ciri,Henselt,3
75,Aelirenn,Ciri,20
76,Aelirenn,Geralt,10
77,Aelirenn,Yarpen,3
78,Regan,Triss,4
79,Yannick,Yarpen,8
80,Ciri,Regan,5
81,Paulie,Roach,5
82,Regan,Yannick,3
83,Geralt,Radovid,1
84,Everett,Geralt,33
85,Ciri,Iola,14
86,Geralt,Nenneke,16
87,Geralt,Iola,4
88,Iola,Nenneke,2
89,Boatbug,Nenneke,6
90,Boatbug,Geralt,41
91,Geralt,Linus,16
92,Foltest,Geralt,4
93,Geralt,Olsen,34
94,Everett,Olsen,20
95,Boatbug,Olsen,21
96,Boratek,Olsen,9
97,Linus,Olsen,12
98,Boatbug,Linus,9
99,Boatbug,Everett,8
100,Boatbug,Yennefer,1
101,Stran,Vitek,12
102,Olsen,Vitek,4
103,Everett,Stran,5
104,Everett,Vitek,5
105,Geralt,Vitek,3
106,Everett,Linus,3
107,Dandelion,Shani,32
108,Ori,Philippa,2
109,Geralt,Rience,22
110,Dandelion,Philippa,22
111,Geralt,Philippa,35
112,Dandelion,Wolfgang,3
113,Geralt,Shani,29
114,Philippa,Shani,18
115,Philippa,Yennefer,12
116,Geralt,Vizimir,4
117,Philippa,Vizimir,5
118,Ciri,Rience,6
119,Philippa,Rience,8
120,Foltest,Vizimir,17
121,Foltest,Henselt,15
122,Henselt,Vizimir,30
123,Emhyr,Vizimir,16
124,Ebbing,Emhyr,3
125,Ebbing,Henselt,1
126,Emhyr,Henselt,13
127,Meve,Vizimir,22
128,Emhyr,Meve,13
129,Emhyr,Foltest,28
130,Emhyr,Ithlinne,5
131,Henselt,Meve,12
132,Eist,Henselt,1
133,Henselt,Niedamir,1
134,Esterad,Niedamir,12
135,Esterad,Ethain,5
136,Ethain,Vizimir,2
137,Vilgefortz,Vizimir,3
138,Foltest,Vilgefortz,10
139,Emhyr,Vilgefortz,5
140,Emhyr,Vissegerd,22
141,Foltest,Vissegerd,22
142,Meve,Vissegerd,7
143,Foltest,Meve,6
144,Foltest,Pavetta,4
145,Niedamir,Vizimir,1
146,Henselt,Vissegerd,4
147,Meve,Niedamir,3
148,Niedamir,Vissegerd,5
149,Meve,Virfuril,2
150,Medell,Virfuril,11
151,Foltest,Virfuril,6
152,Foltest,Medell,6
153,Emhyr,Menno,1
154,Ciri,Emhyr,5
155,Ciri,Dandelion,1
156,Myhrman,Shani,10
157,Geralt,Myhrman,5
158,Myhrman,Two,1
159,Myhrman,Toublanc,1
160,Flavius,Lodovico,6
161,Lodovico,Toublanc,5
162,Michelet,Toublanc,6
163,Toublanc,Two,2
164,Flavius,Toublanc,6
165,Myhrman,Rience,6
166,Myhrman,Vilgefortz,1
167,Artaud,Tissaia,27
168,Tissaia,Vilgefortz,36
169,Artaud,Two,5
170,Lydia,Two,12
171,Lydia,Vilgefortz,53
172,Lydia,Tissaia,3
173,Artaud,Lydia,17
174,Francesca,Vilgefortz,5
175,Aevenien,Tissaia,2
176,Vilgefortz,Yennefer,8
177,Fercart,Vilgefortz,2
178,Artaud,Yennefer,11
179,Tissaia,Yennefer,16
180,Geralt,Vilgefortz,1
181,Geralt,Tissaia,7
182,Geralt,Toublanc,4
183,Ciri,Philippa,6
184,Ciri,Tissaia,2
185,Ciri,Eurneid,5
186,Eurneid,Iola,1
187,Iola,Yennefer,5
188,Vesemir,Yarpen,5
189,Ciri,Jarre,88
190,Ciri,Nenneke,72
191,Jarre,Nenneke,9
192,Geralt,Jarre,5
193,Jarre,Yennefer,9
194,Ciri,Hrosvitha,5
195,Nenneke,Yennefer,47
196,Eurneid,Myrrha,6
197,Blood,Ciri,1
198,Blood,Yennefer,5
199,Hrosvitha,Nenneke,6
200,Hrosvitha,Yennefer,5
201,Ciri,Myrrha,1
202,Ciri,Giambattista,6
203,Agnes,Giambattista,5
204,Essi,Yennefer,2
205,Ciri,Crach,4
206,Aen,Ciri,1
207,Ciri,Francesca,7
208,Aine,Ciri,4
209,Lambert,Yennefer,5
210,Ithlinne,Nenneke,3
211,Aevenien,Ithlinne,6
212,Aevenien,Yennefer,3
