,source,target,weight
0,Aplegatt,Foltest,11
1,Aplegatt,Emhyr,3
2,Cirilla,Emhyr,2
3,Aplegatt,Ciri,4
4,Ciri,Yennefer,256
5,Aplegatt,Yennefer,5
6,Codringher,Geralt,106
7,Codringher,Rience,45
8,Geralt,Rience,7
9,Codringher,Dandelion,4
10,Dandelion,Rience,6
11,Codringher,Yennefer,8
12,Codringher,Emhyr,12
13,Philippa,Sabrina,26
14,Henselt,Sabrina,9
15,Foltest,Geralt,1
16,Cirilla,Geralt,11
17,Cirilla,Pavetta,24
18,Codringher,Foltest,3
19,Ciri,Foltest,5
20,Ciri,Geralt,74
21,Codringher,Jacob,5
22,Ciri,Cirilla,1
23,Cirilla,Codringher,10
24,Codringher,Roegner,8
25,Codringher,Pavetta,22
26,Geralt,Pavetta,7
27,Ciri,Roegner,1
28,Geralt,Roegner,2
29,Pavetta,Roegner,4
30,Eist,Pavetta,6
31,Ciri,Codringher,26
32,Akerspaark,Geralt,16
33,Akerspaark,Gorm,4
34,Gorm,Torm,6
35,Horm,Torm,6
36,Gonzalez,Horm,6
37,Gonzalez,Valia,5
38,Nina,Valia,6
39,Argentina,Nina,6
40,Argentina,Codringher,5
41,Akerspaark,Codringher,4
42,Akerspaark,Pavetta,5
43,Ciri,Pavetta,5
44,Codringher,Ithlinne,4
45,Michelet,Rience,5
46,Cirilla,Rience,1
47,Cirilla,Yennefer,13
48,Geralt,Yennefer,209
49,Heimo,Ralf,5
50,Aplegatt,Hansom,10
51,Aplegatt,Vizimir,4
52,Aplegatt,Heimo,3
53,Heimo,Little,6
54,Cairbre,Toruviel,2
55,Toruviel,Yaevinn,12
56,Cairbre,Yaevinn,6
57,Aplegatt,Toruviel,4
58,Ciri,Yarpen,1
59,Yarpen,Yennefer,4
60,Wilfli,Yennefer,3
61,Ciri,Jarre,13
62,Jarre,Yennefer,9
63,Ciri,Molnar,17
64,Molnar,Yennefer,37
65,Ciri,Emhyr,14
66,Foltest,Molnar,3
67,Ciri,Fabio,209
68,Fabio,Yennefer,16
69,Fabio,Molnar,2
70,Ciri,Leila,6
71,Ciri,Two,13
72,Ciri,Tissaia,10
73,Fabio,Margarita,3
74,Ciri,Margarita,38
75,Margarita,Yennefer,36
76,Margarita,Tissaia,48
77,Tissaia,Yennefer,82
78,Demavend,Margarita,7
79,Falka,Yennefer,2
80,Lars,Margarita,4
81,Lars,Tissaia,6
82,Lars,Yennefer,4
83,Ciri,Lars,3
84,Geralt,Tissaia,25
85,Bernie,Ciri,3
86,Bernie,Dandelion,10
87,Franklin,Gorazd,3
88,Franklin,Petunia,1
89,Bernie,Falka,3
90,Bernie,Geralt,6
91,Petunia,Yennefer,2
92,Geralt,Petunia,1
93,Ciri,Dandelion,11
94,Sabrina,Yennefer,39
95,Geralt,Sabrina,37
96,Geralt,Henselt,5
97,Vilgefortz,Yennefer,31
98,Sabrina,Vilgefortz,6
99,Philippa,Yennefer,41
100,Geralt,Philippa,35
101,Henselt,Yennefer,5
102,Triss,Yennefer,39
103,Geralt,Gerhart,1
104,Gerhart,Yennefer,6
105,Francesca,Tissaia,17
106,Francesca,Geralt,3
107,Francesca,Vilgefortz,34
108,Artaud,Vilgefortz,9
109,Lydia,Vilgefortz,55
110,Lydia,Yennefer,5
111,Philippa,Triss,5
112,Geralt,Triss,15
113,Geralt,Michelet,8
114,Cirilla,Two,1
115,Marti,Sabrina,31
116,Francesca,Marti,1
117,Francesca,Sabrina,7
118,Marti,Yennefer,4
119,Geralt,Marti,10
120,Dorregaray,Yennefer,8
121,Dorregaray,Geralt,31
122,Dorregaray,Marti,13
123,Dorregaray,Philippa,21
124,Keira,Yennefer,27
125,Keira,Sabrina,15
126,Geralt,Keira,35
127,Keira,Marti,11
128,Keira,Philippa,12
129,Geralt,Vilgefortz,110
130,Artaud,Yennefer,10
131,Francesca,Yennefer,5
132,Tissaia,Vilgefortz,28
133,Geralt,Lydia,39
134,Agnes,Giambattista,7
135,Geoffrey,Giambattista,2
136,Geoffrey,Gerhart,4
137,Raffard,Vilgefortz,6
138,Herbert,Raffard,3
139,Aurora,Herbert,6
140,Aurora,Ivo,6
141,Agnes,Ivo,6
142,Agnes,Geoffrey,6
143,Klara,Nina,6
144,Klara,Yanna,1
145,Augusta,Yanna,6
146,Augusta,Jada,6
147,Jada,Leticia,6
148,Ilona,Leticia,6
149,Ilona,Yiolenta,6
150,April,Yiolenta,6
151,April,Lydia,4
152,Geralt,Radmir,4
153,Falka,Radmir,6
154,Falka,Tissaia,1
155,Agnes,Tissaia,6
156,Agnes,Nina,6
157,Nina,Vilgefortz,2
158,Cregennan,Vilgefortz,4
159,Aen,Cregennan,5
160,Lara,Lydia,14
161,Ciri,Lara,6
162,Ciri,Lydia,8
163,Ciri,Vilgefortz,12
164,Geoffrey,Immanuel,6
165,Immanuel,Nina,6
166,Nina,Ransant,6
167,Adalia,Pavetta,6
168,Adalia,Elen,6
169,Elen,Fiona,6
170,Falka,Fiona,19
171,Fiona,Pavetta,6
172,Falka,Pavetta,6
173,Falka,Ithlinne,10
174,Falka,Lara,6
175,Codringher,Lara,5
176,Codringher,Falka,1
177,Cirilla,Falka,8
178,Falka,Geralt,3
179,Geralt,Two,5
180,Artaud,Geralt,5
181,Lydia,Sabrina,1
182,Radcliffe,Sabrina,9
183,Radcliffe,Triss,5
184,Lydia,Triss,6
185,Sabrina,Triss,3
186,Dorregaray,Ethain,4
187,Esterad,Ethain,6
188,Esterad,Lydia,4
189,Lydia,Tissaia,3
190,Artaud,Lydia,5
191,Artaud,Philippa,5
192,Keira,Radcliffe,16
193,Radcliffe,Tissaia,12
194,Philippa,Radcliffe,9
195,Emhyr,Philippa,7
196,Emhyr,Tissaia,2
197,Philippa,Tissaia,19
198,Fercart,Philippa,3
199,Emhyr,Fercart,5
200,Emhyr,Vilgefortz,28
201,Cirilla,Margarita,5
202,Cirilla,Philippa,4
203,Philippa,Vizimir,2
204,Cirilla,Vizimir,5
205,Carduin,Dorregaray,2
206,Carduin,Philippa,7
207,Philippa,Vilgefortz,12
208,Carduin,Francesca,7
209,Drithelm,Vilgefortz,5
210,Drithelm,Marti,4
211,Dorregaray,Lara,1
212,Fercart,Francesca,12
213,Fercart,Geralt,2
214,Vilgefortz,Vizimir,8
215,Sabrina,Vizimir,5
216,Demavend,Radcliffe,6
217,Carduin,Sabrina,5
218,Fercart,Vilgefortz,6
219,Emhyr,Francesca,7
220,Lydia,Philippa,4
221,Sabrina,Tissaia,10
222,Demavend,Sabrina,1
223,Demavend,Meve,15
224,Meve,Sabrina,6
225,Henselt,Tissaia,5
226,Henselt,Philippa,3
227,Philippa,Raffard,6
228,Keira,Tissaia,5
229,Drithelm,Fercart,6
230,Drithelm,Radcliffe,6
231,Marquard,Radcliffe,6
232,Marquard,Rejean,6
233,Bianca,Rejean,6
234,Bianca,Sabrina,5
235,Cahir,Ciri,6
236,Emhyr,Geralt,5
237,Artaud,Emhyr,3
238,Peter,Tissaia,5
239,Morvran,Peter,3
240,Jan,Morvran,5
241,Triss,Venzlav,4
242,Geralt,Venzlav,3
243,Fauve,Geralt,3
244,Dandelion,Geralt,22
245,Dandelion,Yennefer,4
246,Elan,Menno,6
247,Emhyr,Two,5
248,Demavend,Peter,5
249,Dandelion,Peter,4
250,Hedwig,Vizimir,4
251,Dandelion,Foltest,5
252,Dandelion,Emhyr,5
253,Bronibor,Emhyr,5
254,Bronibor,Foltest,4
255,Emhyr,Foltest,5
256,Henselt,Meve,4
257,Foltest,Henselt,12
258,Bode,Digod,3
259,Demavend,Henselt,1
260,Emhyr,Henselt,8
261,Hrafnir,Mansfeld,2
262,Mansfeld,Menno,6
263,Geralt,Menno,3
264,Dandelion,Demavend,4
265,Demavend,Foltest,5
266,Foltest,Hedwig,5
267,Esterad,Hedwig,3
268,Esterad,Vilgefortz,4
269,Emhyr,Filavandrel,12
270,Filavandrel,Foltest,3
271,Filavandrel,Vilgefortz,2
272,Dandelion,Fauve,4
273,Emhyr,Esterad,5
274,Dervla,Emhyr,17
275,Aine,Emhyr,5
276,Aine,Clara,5
277,Emhyr,Lady,5
278,Lady,Stella,5
279,Dervla,Stella,2
280,Emhyr,Vattier,16
281,Emhyr,Stefan,10
282,Stefan,Xarthisius,2
283,Emhyr,Xarthisius,7
284,Godyvron,Rience,5
285,Cahir,Rience,6
286,Cahir,Godyvron,6
287,Godyvron,Vilgefortz,4
288,Cirilla,Vilgefortz,3
289,Cirilla,Godyvron,4
290,Emhyr,Godyvron,3
291,Rience,Vattier,6
292,Vattier,Xarthisius,3
293,Stefan,Vilgefortz,5
294,Stefan,Vattier,6
295,Cahir,Emhyr,1
296,Cahir,Vattier,2
297,Cirilla,Vattier,5
298,Aine,Ciri,5
299,Aine,Yennefer,3
300,Ciri,Seven,5
301,Margarita,Vilgefortz,2
302,Lambert,Vesemir,6
303,Ciri,Skomlik,124
304,Geralt,Skomlik,3
305,Blue,Skomlik,4
306,Blue,Ciri,15
307,Remiz,Skomlik,49
308,Baron,Skomlik,7
309,Ciri,Vercta,8
310,Ciri,Kayleigh,97
311,Kayleigh,Skomlik,35
312,Lutz,Remiz,4
313,Baron,Lutz,6
314,Skomlik,Vercta,39
315,Baron,Vercta,14
316,Lutz,Skomlik,7
317,Baron,Kayleigh,6
318,Kayleigh,Vercta,8
319,Giselher,Skomlik,8
320,Lutz,Vercta,2
321,Kayleigh,Lutz,6
322,Remiz,Vercta,5
323,Giselher,Kayleigh,30
324,Ciri,Iskra,34
325,Ciri,Giselher,50
326,Giselher,Mistle,25
327,Mistle,Skomlik,3
328,Ciri,Mistle,27
329,Iskra,Kayleigh,13
330,Iskra,Mistle,20
331,Kayleigh,Mistle,18
332,Giselher,Iskra,28
333,Ciri,Reef,3
334,Giselher,Reef,5
335,Asse,Ciri,6
336,Ciri,Falka,7
337,Falka,Mistle,4
338,Kayleigh,Reef,28
339,Asse,Mistle,14
340,Asse,Giselher,5
341,Asse,Falka,6
342,Falka,Seven,4
