,source,target,weight
0,Flourens,Milva,1
1,Milva,Vizimir,1
2,Maria,Milva,31
3,Cirilla,Geralt,41
4,Fauve,Milva,3
5,Cirilla,Emhyr,47
6,Philippa,Yennefer,49
7,Cirilla,Yennefer,6
8,Artaud,Emhyr,4
9,Artaud,Yennefer,5
10,Emhyr,Fitz-Oesterlen,11
11,Count,Emhyr,2
12,Count,Fitz-Oesterlen,6
13,Stefan,Vattier,21
14,Fitz-Oesterlen,Vizimir,3
15,Francesca,Yennefer,101
16,Emhyr,Yennefer,10
17,Cahir,Fitz-Oesterlen,3
18,Cahir,Emhyr,32
19,Cahir,Cirilla,6
20,Coinneach,Milva,12
21,Ciaran,Toruviel,10
22,Milva,Toruviel,1
23,Keira,Philippa,23
24,Keira,Margarita,27
25,Margarita,Philippa,43
26,Keira,Triss,10
27,Philippa,Triss,4
28,Sabrina,Sheala,10
29,Francesca,Sheala,12
30,Francesca,Philippa,46
31,Keira,Sabrina,26
32,Francesca,Sabrina,29
33,Assire,Francesca,5
34,Assire,Sabrina,18
35,Philippa,Vilgefortz,8
36,Philippa,Sabrina,40
37,Emhyr,Philippa,18
38,Assire,Emhyr,16
39,Sabrina,Sigismund,10
40,Henselt,Sabrina,5
41,Henselt,Sheala,2
42,Philippa,Sheala,8
43,Philippa,Tugdual,5
44,Assire,Philippa,27
45,Assire,Keira,5
46,Keira,Sheala,6
47,Emhyr,Sabrina,14
48,Margarita,Sheala,3
49,Asse,Kayleigh,18
50,Asse,Two,5
51,Asse,Reef,18
52,Kayleigh,Reef,9
53,Milenka,Zgarba,5
54,Dandelion,Geralt,112
55,Dandelion,Pegasus,5
56,Pegasus,Roach,6
57,Geralt,Roach,28
58,Geralt,Kolda,5
59,Angus,Riordain,5
60,Geralt,Milva,270
61,Ciri,Geralt,94
62,Dandelion,Milva,54
63,Emhyr,Milva,2
64,Emhyr,Geralt,7
65,Milva,Roach,27
66,Cahir,Roach,10
67,Milva,Vera,4
68,Milva,Zoltan,177
69,Munro,Yazon,27
70,Caleb,Yazon,43
71,Caleb,Figgis,18
72,Figgis,Percival,16
73,Percival,Zoltan,113
74,Geralt,Zoltan,253
75,Yazon,Zoltan,15
76,Figgis,Munro,28
77,Caleb,Zoltan,33
78,Figgis,Milva,7
79,Caleb,Milva,7
80,Milva,Percival,15
81,Geralt,Munro,5
82,Munro,Zoltan,20
83,Caleb,Percival,6
84,Geralt,Percival,24
85,Geralt,Lady,1
86,Lady,Zoltan,5
87,Milva,Munro,4
88,Dandelion,Zoltan,22
89,Dandelion,Percival,7
90,Maria,Zoltan,1
91,Figgis,Zoltan,6
92,Geralt,Yazon,8
93,Milva,Yazon,4
94,Cahir,Geralt,129
95,Cahir,Zoltan,9
96,Ciri,Milva,35
97,Effenberg,Philippa,5
98,Effenberg,Talbot,12
99,Talbot,Zoltan,1
100,Two,Zoltan,10
101,Geralt,Pegasus,2
102,Figgis,Yazon,12
103,Ciri,Yennefer,82
104,Milva,Yennefer,5
105,Yennefer,Zoltan,2
106,Ciri,Emhyr,33
107,Ciri,Mistle,25
108,Giselher,Mistle,9
109,Giselher,Kayleigh,20
110,Ciri,Falka,25
111,Asse,Giselher,6
112,Ciri,Reef,2
113,Iskra,Reef,12
114,Iskra,Kayleigh,17
115,Ciri,Giselher,15
116,Falka,Mistle,22
117,Dandelion,Giselher,4
118,Anzelm,Aubry,5
119,Anzelm,Geralt,5
120,Anzelm,Dandelion,6
121,Daniel,Foltest,5
122,Emhyr,Foltest,3
123,Dandelion,Emhyr,11
124,Dandelion,Daniel,4
125,Daniel,Geralt,12
126,Geralt,Vissegerd,83
127,Daniel,Vissegerd,17
128,Cirilla,Pavetta,27
129,Ciri,Pavetta,10
130,Ciri,Cirilla,4
131,Geralt,Pavetta,12
132,Cirilla,Vissegerd,22
133,Cirilla,Daniel,3
134,Cirilla,Dandelion,1
135,Ciri,Vissegerd,8
136,Ciri,Riannon,11
137,Adalia,Ciri,12
138,Adalia,Muriel,6
