,source,target,weight
0,Emhyr,Yennefer,3
1,Emhyr,Philippa,3
2,Philippa,Yarpen,5
3,Vesemir,Yarpen,6
4,Fabio,Vesemir,6
5,Fabio,Fringilla,5
6,Fringilla,Sigrdrifa,6
7,Freya,Sigrdrifa,6
8,Daniel,Freya,5
9,Daniel,Zyvik,6
10,Nenneke,Triss,8
11,Nenneke,Vysogota,4
12,Muskrat,Vysogota,2
13,Ciri,Vysogota,153
14,Kelpie,Vysogota,20
15,Ciri,Kelpie,98
16,Roderick,Vysogota,4
17,Ciri,Roderick,3
18,Asse,Falka,12
19,Asse,Giselher,17
20,Asse,Kelpie,4
21,Falka,Kelpie,11
22,Giselher,Mistle,43
23,Giselher,Kayleigh,50
24,Kayleigh,Reef,19
25,Asse,Reef,27
26,Falka,Giselher,23
27,Falka,Kayleigh,17
28,Falka,Reef,6
29,Giselher,Reef,21
30,Emhyr,Giselher,7
31,Emhyr,Mistle,4
32,Falka,Mistle,22
33,Mistle,Reef,6
34,Falka,Vysogota,9
35,Baron,Giselher,6
36,Ciri,Falka,28
37,Baron,Ciri,10
38,Asse,Ciri,3
39,Ciri,Mistle,41
40,Ciri,Giselher,25
41,Kayleigh,Mistle,26
42,Kayleigh,Valdez,5
43,Giselher,Valdez,6
44,Asse,Kayleigh,13
45,Ciri,Reef,8
46,Ciri,Emhyr,15
47,Cirilla,Falka,9
48,Cirilla,Emhyr,9
49,Emhyr,Reef,7
50,Cirilla,Reef,5
51,Cirilla,Giselher,9
52,Ciri,Yennefer,110
53,Giselher,Kelpie,3
54,Mistle,Vysogota,3
55,Geralt,Milva,117
56,Meve,Milva,4
57,Cahir,Geralt,261
58,Geralt,Meve,8
59,Ciri,Milva,6
60,Cahir,Milva,102
61,Cahir,Pegasus,11
62,Pegasus,Roach,6
63,Milva,Roach,3
64,Ciri,Geralt,83
65,Geralt,Yennefer,27
66,Triss,Yennefer,25
67,Ciri,Dandelion,7
68,Dandelion,Milva,8
69,Cahir,Dandelion,28
70,Geralt,Maria,3
71,Dandelion,Maria,5
72,Dandelion,Geralt,21
73,Cahir,Ciri,30
74,Ciri,Roach,4
75,Geralt,Roach,6
76,Cahir,Vattier,22
77,Emhyr,Vattier,29
78,Vattier,Vilgefortz,45
79,Cirilla,Vilgefortz,19
80,Cirilla,Vattier,32
81,Ciri,Vattier,10
82,Ciri,Vilgefortz,43
83,Torres,Vattier,4
84,Cahir,Vilgefortz,15
85,Cahir,Rience,7
86,Stefan,Vattier,19
87,Carthia,Vattier,51
88,Cahir,Carthia,4
89,Kamil,Schliemann,4
90,Effenberg,Jan,1
91,Effenberg,Talbot,12
92,Joanna,Talbot,5
93,Cirilla,Joanna,2
94,Dacre,Falka,4
95,Dacre,Joanna,15
96,Dacre,Dufficey,4
97,Dufficey,Neratin,6
98,Chloe,Neratin,6
99,Andres,Chloe,18
100,Andres,Til,6
101,Dacre,Stefan,22
102,Dacre,Ola,34
103,Bert,Ola,32
104,Bert,Stefan,4
105,Neratin,Stefan,12
106,Bert,Neratin,9
107,Dacre,Neratin,13
108,Dacre,Til,21
109,Rispat,Til,5
110,Chloe,Rispat,1
111,Andres,Dede,10
112,Chloe,Til,5
113,Falka,Nycklar,15
114,Falka,Stefan,1
115,Ciri,Neratin,8
116,Boreas,Neratin,29
117,Boreas,Chloe,30
118,Chloe,Dacre,2
119,Chloe,Stefan,8
120,Andres,Boreas,4
121,Boreas,Falka,9
122,Chloe,Falka,4
123,Baron,Falka,6
124,Esterhazy,Neratin,8
125,Boreas,Esterhazy,3
126,Chloe,Esterhazy,4
127,Falka,Ola,3
128,Ciri,Leo,15
129,Leo,Marquis,1
130,Emhyr,Leo,4
131,Ciri,Windsor,14
132,Declan,Pennycuick,5
133,Leo,Pennycuick,5
134,Marquis,Windsor,3
135,Falka,Leo,6
136,Falka,Windsor,5
137,Stavro,Windsor,2
138,Baron,Stavro,5
139,Ciri,Stavro,21
140,Falka,Stavro,6
141,Amaranth,Ciri,7
142,Ciri,Pennycuick,4
143,Amaranth,Windsor,6
144,Amaranth,Horsehide,6
145,Horsehide,Stavro,3
146,Cahir,Emhyr,5
147,Geralt,Vysogota,7
148,Geralt,Golan,5
149,Geralt,Two,22
150,Geralt,Novosad,23
151,Novosad,Yirrel,25
152,Geralt,Yirrel,3
153,Geralt,Homer,2
154,Codringher,Geralt,5
155,Codringher,Vilgefortz,5
156,Cahir,Two,2
157,Emhyr,Geralt,1
158,Draakul,Geralt,1
159,Aen,Geralt,4
160,Geralt,Ithlinne,2
161,Avallac'h,Lara,1
162,Cregennan,Lara,34
163,Ciri,Lara,8
164,Cregennan,Geralt,8
165,Geralt,Lara,7
166,Lara,Vilgefortz,10
167,Lara,Riannon,12
168,Pavetta,Riannon,10
169,Emhyr,Vilgefortz,13
170,Avallac'h,Geralt,5
171,Gabriel,Geralt,9
172,Geralt,Weasel,17
173,Baron,Geralt,9
174,Effenberg,Flourens,1
175,Benda,Radovid,26
176,Gedovius,Gemma,28
177,Gedovius,Radovid,6
178,Gemma,Radovid,12
179,Benda,Gemma,6
180,Benda,Gedovius,9
181,Gemma,Gerard,5
182,Esteril,Gerard,5
183,Esterad,Zuleyka,78
184,Philippa,Zuleyka,6
185,Esterad,Philippa,2
186,Esterad,Gedovius,5
187,Emhyr,Esterad,27
188,Esterad,Henselt,4
189,Emhyr,Henselt,8
190,Emhyr,Foltest,8
191,Carthia,Emhyr,11
192,Assire,Carthia,16
193,Assire,Vattier,10
194,Assire,Menno,3
195,Carthia,Menno,2
196,Assire,Emhyr,3
197,Emhyr,Stefan,9
198,Neratin,Vattier,12
199,Assire,Neratin,4
200,Assire,Jediah,6
201,Jediah,Vattier,5
202,Assire,Fringilla,4
203,Assire,Philippa,8
204,Assire,Esterad,4
205,Esterad,Meve,3
206,Emhyr,Meve,5
207,Emhyr,Esteril,3
208,Esterad,Foltest,5
209,Lebioda,Tankred,4
210,Emhyr,Tankred,6
211,Jacob,Zuleyka,3
212,Esterad,Jacob,5
213,Lebioda,Zuleyka,10
214,Esterad,Lebioda,7
215,Duke,Guiscard,19
