,source,target,weight
0,Arthur,Merlin,7
1,Galahad,Lady,2
2,Condwiramurs,Lebioda,3
3,Condwiramurs,Nimue,206
4,Nimue,Two,2
5,Ciri,Two,9
6,Ciri,Geralt,309
7,Cahir,Geralt,57
8,Cahir,Yennefer,7
9,Ciri,Yennefer,321
10,Geralt,Nimue,8
11,Condwiramurs,Yennefer,5
12,Nimue,Yennefer,16
13,Ciri,Pavetta,25
14,Ciri,Condwiramurs,28
15,Assire,Ciri,4
16,Assire,Nimue,4
17,Ciri,Nimue,39
18,Lydia,Nimue,5
19,Emhyr,Vattier,7
20,Emhyr,Stella,27
21,Vattier,Vilgefortz,6
22,Emhyr,Nimue,3
23,Condwiramurs,Emhyr,7
24,Condwiramurs,Jarre,3
25,Jarre,Nimue,1
26,Anna,Cahir,7
27,Anna,Milva,5
28,Cahir,Milva,63
29,Condwiramurs,Fringilla,5
30,Vilgefortz,Yennefer,119
31,Ciri,Vilgefortz,36
32,Geralt,Yennefer,217
33,Rience,Yennefer,5
34,Rience,Vilgefortz,3
35,Stefan,Yennefer,9
36,Condwiramurs,Rience,5
37,Geralt,Reynart,40
38,Geralt,Roach,14
39,Geralt,Milva,52
40,Anna,Reynart,11
41,Cahir,Reynart,6
42,Dandelion,Reynart,2
43,Dandelion,Geralt,52
44,Anna,Geralt,21
45,Fringilla,Geralt,160
46,Alcides,Malatesta,5
47,Fringilla,Milva,25
48,Anna,Pavetta,3
49,Geralt,Pavetta,19
50,Ciri,Dandelion,7
51,Emhyr,Geralt,21
52,Geralt,Jean,5
53,Baron,Palmerin,6
54,Geralt,Palmerin,8
55,Milva,Reynart,3
56,Ciri,Milva,6
57,Cahir,Fringilla,15
58,Baron,Fringilla,5
59,Baron,Milva,28
60,Anna,Baron,3
61,Fringilla,Fulko,3
62,Baron,Geralt,4
63,Anna,Roach,6
64,Baron,Cahir,3
65,Fringilla,Philippa,52
66,Fringilla,Yennefer,11
67,Fringilla,Keira,26
68,Keira,Philippa,4
69,Margarita,Philippa,13
70,Margarita,Sabrina,16
71,Fringilla,Sabrina,13
72,Francesca,Fringilla,6
73,Assire,Francesca,3
74,Assire,Fringilla,12
75,Ciri,Fringilla,8
76,Geralt,Two,11
77,Dandelion,Fringilla,5
78,Geralt,Maria,4
79,Alcides,Geralt,8
80,Joachim,Vilgefortz,5
81,Ardal,Emhyr,8
82,Stefan,Vilgefortz,16
83,Emhyr,Vilgefortz,24
84,Emhyr,Joachim,16
85,Emhyr,Stefan,10
86,Emhyr,Yennefer,15
87,Cirilla,Vilgefortz,10
88,Fringilla,Vilgefortz,21
89,April,Vilgefortz,3
90,April,Fringilla,5
91,Philippa,Vilgefortz,8
92,Keira,Vilgefortz,9
93,Keira,Sabrina,47
94,Philippa,Sabrina,36
95,Keira,Margarita,6
96,Margarita,Triss,6
97,Francesca,Triss,5
98,Geralt,Guy,3
99,Cahir,Pegasus,2
100,Francesca,Philippa,24
101,Francesca,Sabrina,6
102,Fringilla,Margarita,5
103,Assire,Philippa,13
104,Assire,Sabrina,13
105,Ciri,Vysogota,28
106,Ciri,Kelpie,315
107,Lara,Pavetta,8
108,Avallac'h,Ciri,43
109,Ciri,Lara,17
110,Ciri,Cregennan,3
111,Kelpie,Vesemir,4
112,Avallac'h,Eredin,9
113,Eredin,Lara,5
114,Ciri,Eredin,42
115,Auberon,Avallac'h,9
116,Auberon,Eredin,5
117,Auberon,Ciri,34
118,Auberon,Geralt,6
119,Cregennan,Lara,5
120,Vysogota,Yennefer,1
121,Geralt,Vysogota,3
122,Eredin,Kelpie,22
123,Anna,Ciri,4
124,Anna,Eredin,4
125,Anna,Auberon,3
126,Giselher,Kayleigh,6
127,Kelpie,Yennefer,21
128,Eredin,Geralt,2
129,Eredin,Vysogota,6
130,Ciri,Ihuarraquax,31
131,Ihuarraquax,Kelpie,24
132,Ciri,Seven,1
133,Ihuarraquax,Lara,5
134,Ciri,Joachim,1
135,Jarre,Okultich,9
136,Jarre,Milton,18
137,Jarre,Pike,66
138,Jarre,Klaproth,11
139,Klaproth,Pike,14
140,Pike,Two,5
141,Jarre,Two,10
142,Jarre,Nenneke,23
143,Ciri,Nenneke,11
144,Milton,Ograbek,18
145,Klaproth,Ograbek,2
146,Okultich,Pike,16
147,Klaproth,Okultich,9
148,Milton,Pike,10
149,Goidemar,Klaproth,1
150,Falka,Goidemar,11
151,Cedric,Goidemar,5
152,Cedric,Jarre,2
153,Adam,Lorenzo,17
154,Julia,Lorenzo,17
155,Julia,Okultich,2
156,Julia,Pike,3
157,Cirilla,Jarre,7
158,Dennis,Jarre,37
159,Dennis,Nenneke,10
160,Jarre,Zoltan,9
161,Dennis,Zoltan,11
162,Dennis,Sheldon,6
163,Jarre,Sheldon,9
164,Sheldon,Zoltan,11
165,Menno,Zoltan,9
166,Jarre,Menno,4
167,Dennis,Elkana,4
168,Dennis,Vissegerd,4
169,Emhyr,Zoltan,2
170,Cirilla,Sheldon,4
171,Cirilla,Emhyr,16
172,Emhyr,Menno,4
173,Yarpen,Zoltan,50
174,Evangelina,Yarpen,2
175,Dennis,Evangelina,1
176,Ciri,Jarre,18
177,Adam,Jarre,5
178,Adam,Dennis,6
179,Klaproth,Milton,6
180,Incarvilia,Ograbek,2
181,Incarvilia,Pike,6
182,Impatientia,Pike,4
183,Milo,Pike,2
184,Holofernes,Pike,14
185,Holofernes,Petunia,10
186,Petunia,Pike,3
187,Incarvilia,Milton,6
188,Holofernes,Milton,4
189,Holofernes,Klaproth,5
190,Klaproth,Petunia,5
191,Holofernes,Incarvilia,4
192,Kelpie,Nimue,1
193,Kelpie,Two,9
194,Condwiramurs,King,4
195,King,Nimue,4
196,Nenneke,Yennefer,11
197,Eurneid,Nenneke,14
198,Eurneid,Iola,22
199,Fabio,Iola,3
200,Fabio,Yennefer,4
201,Aarhenius,Yennefer,5
202,Geralt,Kelpie,25
203,Ithlinne,Nimue,9
204,Condwiramurs,Ithlinne,4
